AllocationYear,PooledFundId,OrganizatinonId,ClusterId,FundId,AllocationSurceId,ClusterBudget,TotalNumbProj
2007,79,3,11,1,4,95108.67,2
2007,79,3,13,1,4,368773.0,1
2007,80,3,3,1,4,500000.0,2
2007,80,3,4,1,3,1300001.0,1
2007,80,3,6,1,3,1254611.0,3
2007,80,3,6,1,4,300000.0,1
2007,80,3,7,1,3,5371425.0,6
2007,80,3,7,1,4,1680000.0,3
2007,80,3,8,1,3,200000.0,1
2007,80,3,9,1,4,520000.0,3
2007,80,3,10,1,3,4719318.0,2
2007,80,3,11,1,3,2054678.0,2
2007,80,3,11,1,4,3000000.0,2
2007,80,3,12,1,3,3000000.0,1
2007,80,3,13,1,3,1575000.0,1
2007,81,3,6,1,3,249940.0,2
2007,81,3,13,1,3,166385.0,1
2007,83,3,13,1,3,348285.0,1
2007,87,3,4,1,3,2716548.0,2
2007,87,3,6,1,3,2025308.0,1
2007,87,3,7,1,3,1946865.0,3
2007,87,3,11,1,3,1353919.0,1
2007,87,3,12,1,3,5530735.0,2
2007,87,3,12,1,4,1000000.0,1
2007,87,3,13,1,3,1091400.0,1
2007,89,3,4,1,3,2072500.0,2
2007,89,3,6,1,3,4526687.0,4
2007,89,3,7,1,3,1002210.0,2
2007,89,3,10,1,3,1887624.5,2
2007,89,3,11,1,3,1189108.0,1
2007,89,3,12,1,3,209955.0,1
2007,90,3,6,1,3,3136815.48,2
2007,92,3,6,1,3,119814.0,1
2007,93,3,5,1,3,209571.0,1
2007,93,3,6,1,3,1090993.0,2
2007,94,3,6,1,3,2266412.0,3
2007,94,3,9,1,3,1310750.0,1
2007,94,3,11,1,3,225770.0,1
2007,97,3,3,1,3,441750.0,1
2007,97,3,4,1,3,252788.0,1
2007,97,3,6,1,3,9280785.0,3
2007,97,3,7,1,3,758577.0,1
2007,97,3,10,1,3,287945.0,1
2007,97,3,11,1,3,720850.0,1
2007,97,3,12,1,3,1258320.0,1
2007,99,3,6,1,3,702990.0,1
2007,99,3,7,1,3,497071.0,2
2007,105,3,6,1,3,2432110.0,1
2007,105,3,7,1,3,415973.0,1
2007,105,3,11,1,3,586493.0,1
2007,107,3,4,1,4,1000000.0,1
2007,107,3,6,1,3,8000000.0,1
2007,107,3,6,1,4,200000.0,1
2007,107,3,7,1,4,1100000.3,2
2007,107,3,9,1,4,199084.11,1
2007,107,3,10,1,4,499992.0,2
2007,107,3,11,1,4,1000000.0,1
2008,1,3,4,1,4,1673828.0,2
2008,1,3,6,1,3,6945154.0,1
2008,1,3,6,1,4,814779.0,1
2008,1,3,7,1,3,1056906.0,2
2008,1,3,7,1,4,1439935.0,2
2008,1,3,9,1,4,447795.0,1
2008,1,3,11,1,4,3302157.0,1
2008,1,3,12,1,3,1444500.0,1
2008,1,3,13,1,4,1095590.12,1
2008,3,3,4,1,3,273653.0,1
2008,3,3,7,1,3,1225000.0,2
2008,7,3,6,1,3,1000000.0,1
2008,10,3,3,1,3,76772.1,1
2008,10,3,4,1,3,263994.0,1
2008,10,3,6,1,3,1311920.0,2
2008,10,3,7,1,3,208650.0,2
2008,10,3,9,1,3,40660.0,1
2008,10,3,10,1,3,126260.0,1
2008,10,3,11,1,3,243618.0,1
2008,13,3,6,1,3,499999.23,1
2008,13,3,6,1,4,2252688.0,2
2008,13,3,9,1,3,1500294.0,2
2008,13,3,9,1,4,1147311.0,1
2008,14,3,6,1,3,1000001.0,1
