DonorId,FiscalYear,FundType,PaidAmt,PledgeAmt,PledgePaidDate,PooledFundId
162,2013,CBPF,0,2238137,07-2013,105
162,2013,CBPF,0,447627,07-2013,73
3,2013,CBPF,0,1999978,08-2012,87
86,2013,CBPF,0,663129,08-2013,36
124,2013,CBPF,0,1875000,08-2013,27
183,2013,CBPF,0,1908396,08-2013,45
183,2013,CBPF,0,3084040,08-2013,88
22,2013,CBPF,0,3963693,09-2013,27
80,2013,CBPF,0,100000,09-2013,73
124,2013,CBPF,0,1250000,09-2013,36
129,2013,CBPF,0,1638269,09-2013,74
183,2013,CBPF,0,4580152,09-2013,74
86,2013,CBPF,0,1311301,10-2013,18
86,2013,CBPF,0,2407000,10-2013,27
86,2013,CBPF,0,2005828,10-2013,87
86,2013,CBPF,0,135685,10-2013,73
124,2013,CBPF,0,1250000,10-2013,18
124,2013,CBPF,0,1562500,10-2013,87
124,2013,CBPF,0,5000000,10-2013,88
22,2013,CBPF,0,5145901,11-2012,27
183,2013,CBPF,0,18194390,11-2012,27
162,2013,CBPF,0,1486612,11-2013,18
183,2013,CBPF,0,16280025,11-2013,27
124,2013,CBPF,0,1250000,12-2013,18
124,2013,CBPF,0,2250000,12-2013,80
129,2013,CBPF,0,1623740,12-2013,27
129,2013,CBPF,0,1643115,12-2013,105
129,2013,CBPF,0,1643115,12-2013,73
162,2013,CBPF,0,1524157,12-2013,36
162,2013,CBPF,0,762078,12-2013,45
162,2013,CBPF,0,762078,12-2013,67
162,2013,CBPF,0,1524157,12-2013,74
162,2013,CBPF,0,2582955,12-2013,87
162,2013,CBPF,0,1518975,12-2013,80
163,2013,CBPF,0,771775,12-2013,36
183,2013,CBPF,0,14703300,12-2013,87
183,2013,CBPF,0,31072600,12-2013,88
183,2013,CBPF,0,16368000,12-2013,80
13,2014,CBPF,0,2663345,01-2014,88
52,2014,CBPF,0,3825664,01-2014,87
67,2014,CBPF,0,975456,01-2014,88
86,2014,CBPF,0,2670770,01-2014,18
35,2014,CBPF,0,4299226,01-2015,108
163,2014,CBPF,0,1179331,01-2015,73
52,2014,CBPF,0,2780974,02-2014,18
80,2014,CBPF,0,130000,02-2014,73
86,2014,CBPF,0,2702190,02-2014,27
86,2014,CBPF,0,2702190,02-2014,87
86,2014,CBPF,0,2026635,02-2014,88
86,2014,CBPF,0,1351080,02-2014,80
129,2014,CBPF,0,6499516,02-2014,88
162,2014,CBPF,0,12330374,02-2014,88
183,2014,CBPF,0,2686567,03-2013,105
52,2014,CBPF,0,4671500,03-2014,88
52,2014,CBPF,0,1868600,03-2014,80
52,2014,CBPF,0,1833516,03-2014,105
98,2014,CBPF,0,300000,03-2014,105
109,2014,CBPF,0,342142,03-2014,27
124,2014,CBPF,0,2779000,03-2014,18
129,2014,CBPF,0,2479921,03-2014,18
129,2014,CBPF,0,8294404,03-2014,80
185,2014,CBPF,0,1087230,03-2014,1
183,2014,CBPF,0,16547260,03-2014,1
183,2014,CBPF,0,1250000,03-2014,67
86,2014,CBPF,0,687757,04-2014,36
129,2014,CBPF,0,3331358,04-2014,27
162,2014,CBPF,0,12093951,04-2014,1
162,2014,CBPF,0,10668486,04-2014,80
163,2014,CBPF,0,451824,04-2014,18
163,2014,CBPF,0,567677,04-2014,80
183,2014,CBPF,0,10017,04-2014,80
52,2014,CBPF,0,3705526,05-2014,88
98,2014,CBPF,0,1000000,05-2014,1
109,2014,CBPF,0,341525,05-2014,18
183,2014,CBPF,0,1682938,05-2014,18
22,2014,CBPF,0,3925259,06-2013,88
162,2014,CBPF,0,3737224,06-2013,87
13,2014,CBPF,0,371040,06-2014,1
13,2014,CBPF,0,927643,06-2014,67
124,2014,CBPF,0,1369360,06-2014,18
124,2014,CBPF,0,9511600,06-2014,88
129,2014,CBPF,0,1340450,06-2014,1
129,2014,CBPF,0,2509116,06-2014,18
129,2014,CBPF,0,3321794,06-2014,88
162,2014,CBPF,0,3729044,06-2014,18
183,2014,CBPF,0,41799130,06-2014,88
180,2014,CBPF,0,4108,07-2013,36
13,2014,CBPF,0,939849,07-2014,67
52,2014,CBPF,0,1805423,07-2014,87
86,2014,CBPF,0,1339458,07-2014,18
86,2014,CBPF,0,1339458,07-2014,87
86,2014,CBPF,0,2009203,07-2014,88
162,2014,CBPF,0,4372486,07-2014,87
52,2014,CBPF,0,986547,08-2014,73
86,2014,CBPF,0,133689,08-2014,73
124,2014,CBPF,0,4605263,08-2014,27
124,2014,CBPF,0,2673796,08-2014,105
129,2014,CBPF,0,478927,08-2014,22
158,2014,CBPF,0,1169786,08-2014,91
158,2014,CBPF,0,501336,08-2014,108
158,2014,CBPF,0,334224,08-2014,73
162,2014,CBPF,0,580130,08-2014,22
162,2014,CBPF,0,1450326,08-2014,36
162,2014,CBPF,0,1450326,08-2014,45
162,2014,CBPF,0,725163,08-2014,67
162,2014,CBPF,0,3625815,08-2014,74
162,2014,CBPF,0,4350978,08-2014,105
162,2014,CBPF,0,2175489,08-2014,73
163,2014,CBPF,0,653808,08-2014,18
163,2014,CBPF,0,1530599,08-2014,87
163,2014,CBPF,0,769230,08-2014,73
22,2014,CBPF,0,1346298,09-2013,27
13,2014,CBPF,0,4699762,09-2014,87
13,2014,CBPF,0,4699762,09-2014,88
124,2014,CBPF,0,1315192,09-2014,87
124,2014,CBPF,0,3271130,09-2014,80
158,2014,CBPF,0,329380,09-2014,22
162,2014,CBPF,0,716332,09-2014,36
162,2014,CBPF,0,716332,09-2014,73
163,2014,CBPF,0,327868,09-2014,73
183,2014,CBPF,0,11398800,09-2014,80
183,2014,CBPF,0,995024,09-2014,105
22,2014,CBPF,0,2297579,10-2014,88
67,2014,CBPF,0,1265555,10-2014,87
67,2014,CBPF,0,2541296,10-2014,105
67,2014,CBPF,0,635324,10-2014,73
129,2014,CBPF,0,1545386,10-2014,88
129,2014,CBPF,0,1545386,10-2014,80
162,2014,CBPF,0,17588975,10-2014,88
183,2014,CBPF,0,1623376,10-2014,45
183,2014,CBPF,0,14417652,11-2013,27
22,2014,CBPF,0,4968199,11-2014,27
52,2014,CBPF,0,1016432,11-2014,55
52,2014,CBPF,0,2371675,11-2014,108
63,2014,CBPF,0,1851331,11-2014,87
64,2014,CBPF,0,622665,11-2014,108
67,2014,CBPF,0,6305170,11-2014,108
81,2014,CBPF,0,500000,11-2014,51
81,2014,CBPF,0,500000,11-2014,55
81,2014,CBPF,0,1000000,11-2014,91
86,2014,CBPF,0,1849620,11-2014,27
86,2014,CBPF,0,1872944,11-2014,80
109,2014,CBPF,0,315258,11-2014,91
124,2014,CBPF,0,12700158,11-2014,18
124,2014,CBPF,0,6122847,11-2014,88
141,2014,CBPF,0,19999960,11-2014,108
163,2014,CBPF,0,932642,11-2014,36
163,2014,CBPF,0,520413,11-2014,87
163,2014,CBPF,0,1047544,11-2014,88
163,2014,CBPF,0,522958,11-2014,80
163,2014,CBPF,0,1036269,11-2014,105
183,2014,CBPF,0,15676000,11-2014,27
183,2014,CBPF,0,400000,11-2014,67
52,2014,CBPF,0,2703755,12-2013,18
183,2014,CBPF,0,9771986,12-2013,36
52,2014,CBPF,0,1638001,12-2014,105
67,2014,CBPF,0,1251564,12-2014,51
67,2014,CBPF,0,2503128,12-2014,55
67,2014,CBPF,0,990400,12-2014,88
67,2014,CBPF,0,2503128,12-2014,91
67,2014,CBPF,0,1251564,12-2014,108
98,2014,CBPF,0,5000000,12-2014,1
129,2014,CBPF,0,1395350,12-2014,27
129,2014,CBPF,0,688136,12-2014,36
129,2014,CBPF,0,2064409,12-2014,108
162,2014,CBPF,0,7933175,12-2014,27
162,2014,CBPF,0,1324327,12-2014,36
162,2014,CBPF,0,662163,12-2014,51
162,2014,CBPF,0,662163,12-2014,55
162,2014,CBPF,0,5032446,12-2014,74
162,2014,CBPF,0,2644375,12-2014,87
162,2014,CBPF,0,3305475,12-2014,88
162,2014,CBPF,0,1324327,12-2014,91
162,2014,CBPF,0,1986491,12-2014,108
